package,ecosystem,severity,cve,ghsa,summary,publishedAt,updatedAt,firstPatchedVersion,vulnerableVersionRange
tensorflow-cpu,PIP,LOW,CVE-2020-26266,GHSA-qhxx-j73r-qpm2,Uninitialized memory access in TensorFlow,2020-12-10 19:07:24,2021-01-07 22:36:21,1.15.5,< 1.15.5
tensorflow,PIP,LOW,CVE-2020-26266,GHSA-qhxx-j73r-qpm2,Uninitialized memory access in TensorFlow,2020-12-10 19:07:24,2021-01-07 22:36:21,2.3.2,">= 2.3.0, < 2.3.2"
tensorflow,PIP,LOW,CVE-2020-26266,GHSA-qhxx-j73r-qpm2,Uninitialized memory access in TensorFlow,2020-12-10 19:07:24,2021-01-07 22:36:21,2.2.2,">= 2.2.0, < 2.2.2"
tensorflow,PIP,LOW,CVE-2020-26266,GHSA-qhxx-j73r-qpm2,Uninitialized memory access in TensorFlow,2020-12-10 19:07:24,2021-01-07 22:36:21,2.1.3,">= 2.1.0, < 2.1.3"
tensorflow,PIP,LOW,CVE-2020-26266,GHSA-qhxx-j73r-qpm2,Uninitialized memory access in TensorFlow,2020-12-10 19:07:24,2021-01-07 22:36:21,2.0.4,">= 2.0.0, < 2.0.4"
tensorflow,PIP,LOW,CVE-2020-26266,GHSA-qhxx-j73r-qpm2,Uninitialized memory access in TensorFlow,2020-12-10 19:07:24,2021-01-07 22:36:21,1.15.5,< 1.15.5
ini,NPM,LOW,CVE-2020-7788,GHSA-qqgx-2p2h-9c37,Prototype Pollution,2020-12-10 16:53:45,2021-01-08 21:20:41,1.3.6,< 1.3.6
org.codehaus.groovy:groovy,MAVEN,MODERATE,CVE-2020-17521,GHSA-rcjj-h6gh-jf3r,Information Disclosure in Apache Groovy,2020-12-09 19:03:03,2021-01-22 20:50:07,3.0.7,">= 3.0.0, < 3.0.7"
org.codehaus.groovy:groovy,MAVEN,MODERATE,CVE-2020-17521,GHSA-rcjj-h6gh-jf3r,Information Disclosure in Apache Groovy,2020-12-09 19:03:03,2021-01-22 20:50:07,2.5.14,">= 2.5.0, < 2.5.14"
org.codehaus.groovy:groovy,MAVEN,MODERATE,CVE-2020-17521,GHSA-rcjj-h6gh-jf3r,Information Disclosure in Apache Groovy,2020-12-09 19:03:03,2021-01-22 20:50:07,2.4.21,">= 2.0.0, < 2.4.21"
matrix-synapse,PIP,LOW,CVE-2020-26257,GHSA-hxmp-pqch-c8mm,Denial of service attack via incorrect parameters in Matrix Synapse,2020-12-09 18:21:29,2021-01-07 22:37:52,1.23.1,< 1.23.1
jupyterhub-systemdspawner,PIP,HIGH,CVE-2020-26261,GHSA-cg54-gpgr-4rm6,user-readable api tokens in systemd units for JupyterHub,2020-12-09 16:27:43,2021-01-07 22:38:05,0.15,< 0.15
red-dashboard,PIP,HIGH,CVE-2020-26249,GHSA-hm45-mgqm-gjm4,Remote Code Execution (RCE) Exploit on Cross Site Scripting (XSS) Vulnerability,2020-12-08 23:55:54,2021-01-07 22:37:28,0.1.7a,<= 0.1.6a
org.opencastproject:opencast-kernel,MAVEN,HIGH,CVE-2020-26234,GHSA-44cw-p2hm-gpf6,Disabled Hostname Verification in OpenCast,2020-12-08 22:37:59,2021-03-22 14:24:10,8.9,">= 8.0, < 8.9"
org.opencastproject:opencast-kernel,MAVEN,HIGH,CVE-2020-26234,GHSA-44cw-p2hm-gpf6,Disabled Hostname Verification in OpenCast,2020-12-08 22:37:59,2021-03-22 14:24:10,7.9,< 7.9
@fast-csv/parse,NPM,LOW,CVE-2020-26256,GHSA-8cv5-p934-3hwp,Denial of service in fast-csv,2020-12-08 21:42:53,2021-01-07 22:38:13,4.3.6,< 4.3.6
fast-csv,NPM,LOW,CVE-2020-26256,GHSA-8cv5-p934-3hwp,Denial of service in fast-csv,2020-12-08 21:42:53,2021-01-07 22:38:13,4.3.6,< 4.3.6
getkirby/cms,COMPOSER,LOW,CVE-2020-26255,GHSA-g3h8-cg9x-47qw,PHP Phar archives could be uploaded by Panel users as content files and executed in Kirby,2020-12-08 14:42:08,2021-01-07 22:37:41,3.4.5,">= 3.0.0, < 3.4.5"
getkirby/panel,COMPOSER,LOW,CVE-2020-26255,GHSA-g3h8-cg9x-47qw,PHP Phar archives could be uploaded by Panel users as content files and executed in Kirby,2020-12-08 14:42:08,2021-01-07 22:37:41,2.5.14,< 2.5.14
omniauth-apple,RUBYGEMS,LOW,CVE-2020-26254,GHSA-49r3-2549-3633,omniauth-apple allows attacker to fake their email address during authentication,2020-12-08 14:18:19,2021-01-07 22:38:25,1.0.1,< 1.0.1
@highlightjs/cdn-assets,NPM,MODERATE,,GHSA-7wwv-vh3v-89cq,ReDOS vulnerabities: multiple grammars,2020-12-04 16:47:20,2020-12-04 16:47:20,10.4.1,< 10.4.1
highlight.js,NPM,MODERATE,,GHSA-7wwv-vh3v-89cq,ReDOS vulnerabities: multiple grammars,2020-12-04 16:47:20,2020-12-04 16:47:20,10.4.1,">= 9.0.0, < 10.4.1"
oic,PIP,MODERATE,CVE-2020-26244,GHSA-4fjv-pmhg-3rfg,Multiple cryptographic issues in Python oic,2020-12-04 16:47:12,2021-01-08 21:10:33,1.2.1,< 1.2.1
CefSharp.Wpf.HwndHost,NUGET,HIGH,CVE-2020-16009,GHSA-m7mf-48hp-5qmr,Inappropriate implementation in V8,2020-12-02 18:28:47,2021-01-04 15:52:32,86.0.241,< 86.0.241
CefSharp.WinForms,NUGET,HIGH,CVE-2020-16009,GHSA-m7mf-48hp-5qmr,Inappropriate implementation in V8,2020-12-02 18:28:47,2021-01-04 15:52:32,86.0.241,< 86.0.241
CefSharp.Wpf,NUGET,HIGH,CVE-2020-16009,GHSA-m7mf-48hp-5qmr,Inappropriate implementation in V8,2020-12-02 18:28:47,2021-01-04 15:52:32,86.0.241,< 86.0.241
CefSharp.Common,NUGET,HIGH,CVE-2020-16009,GHSA-m7mf-48hp-5qmr,Inappropriate implementation in V8,2020-12-02 18:28:47,2021-01-04 15:52:32,86.0.241,< 86.0.241
petl,PIP,LOW,,GHSA-f5gc-p5m3-v347,XXE in petl,2020-12-02 18:28:30,2020-12-02 18:28:30,1.6.8,< 1.6.8
org.eclipse.jetty:jetty-server,MAVEN,MODERATE,CVE-2020-27218,GHSA-86wm-rrjm-8wh8,Buffer not correctly recycled in Gzip Request inflation,2020-12-02 18:28:18,2021-03-11 16:24:18,9.4.35.v20201120,">= 9.4.0, <= 9.4.34"
amundsen-frontend,PIP,LOW,,GHSA-47qg-q58v-7vrp,UNEDITABLE_SCHEMAS and UNEDITABLE_TABLE_DESCRIPTION_MATCH_RULES not respected by frontend service backend,2020-12-02 18:28:10,2020-12-02 18:28:10,3.1.0,= 3.0.0
amundsen-frontend,PIP,LOW,,GHSA-47qg-q58v-7vrp,UNEDITABLE_SCHEMAS and UNEDITABLE_TABLE_DESCRIPTION_MATCH_RULES not respected by frontend service backend,2020-12-02 18:28:10,2020-12-02 18:28:10,3.1.0,= 2.3.0
oauthenticator,PIP,HIGH,CVE-2020-26250,GHSA-384w-5v3f-q499,Base class whitelist configuration ignored in OAuthenticator,2020-12-01 20:25:00,2021-01-07 22:38:55,0.12.2,">= 0.12.0, < 0.12.2"
CefSharp.Wpf.HwndHost,NUGET,HIGH,CVE-2020-16017,GHSA-gvqv-779r-4jgp,Use after free in CefSharp,2020-11-27 20:13:05,2021-01-12 18:00:23,86.0.241,< 86.0.241
CefSharp.WinForms,NUGET,HIGH,CVE-2020-16017,GHSA-gvqv-779r-4jgp,Use after free in CefSharp,2020-11-27 20:13:05,2021-01-12 18:00:23,86.0.241,< 86.0.241
CefSharp.Wpf,NUGET,HIGH,CVE-2020-16017,GHSA-gvqv-779r-4jgp,Use after free in CefSharp,2020-11-27 20:13:05,2021-01-12 18:00:23,86.0.241,< 86.0.241
CefSharp.Common,NUGET,HIGH,CVE-2020-16017,GHSA-gvqv-779r-4jgp,Use after free in CefSharp,2020-11-27 20:13:05,2021-01-12 18:00:23,86.0.241,< 86.0.241
CefSharp.Wpf.HwndHost,NUGET,HIGH,CVE-2020-16013,GHSA-x7fx-mcc9-27j7,Inappropriate implementation in V8 in CefSharp,2020-11-27 20:12:55,2021-01-14 17:39:17,86.0.241,< 86.0.241
CefSharp.WinForms,NUGET,HIGH,CVE-2020-16013,GHSA-x7fx-mcc9-27j7,Inappropriate implementation in V8 in CefSharp,2020-11-27 20:12:55,2021-01-14 17:39:17,86.0.241,< 86.0.241
CefSharp.Wpf,NUGET,HIGH,CVE-2020-16013,GHSA-x7fx-mcc9-27j7,Inappropriate implementation in V8 in CefSharp,2020-11-27 20:12:55,2021-01-14 17:39:17,86.0.241,< 86.0.241
CefSharp.Common,NUGET,HIGH,CVE-2020-16013,GHSA-x7fx-mcc9-27j7,Inappropriate implementation in V8 in CefSharp,2020-11-27 20:12:55,2021-01-14 17:39:17,86.0.241,< 86.0.241
systeminformation,NPM,MODERATE,CVE-2020-26245,GHSA-4v2w-h9jm-mqjg,Prototype Pollution in systeminformation,2020-11-27 16:07:15,2021-01-07 22:40:04,4.30.5,< 4.30.5
nanopb,PIP,MODERATE,CVE-2020-26243,GHSA-85rr-4rh9-hhwh,Memory leak in Nanopb,2020-11-25 16:53:27,2021-01-07 22:39:40,0.4.4,">= 0.4.0, < 0.4.4"
nanopb,PIP,MODERATE,CVE-2020-26243,GHSA-85rr-4rh9-hhwh,Memory leak in Nanopb,2020-11-25 16:53:27,2021-01-07 22:39:40,0.3.9.7,">= 0.3.2, <= 0.3.9.6"
com.cronutils:cron-utils,MAVEN,CRITICAL,CVE-2020-26238,GHSA-pfj3-56hm-jwq5,Template injection in cron-utils,2020-11-24 23:48:38,2021-03-19 18:38:31,9.1.3,< 9.1.3
datasette-graphql,PIP,LOW,,GHSA-74hv-qjjq-h7g5,datasette-graphql leaks details of the schema of private database files,2020-11-24 22:59:08,2020-11-24 22:59:08,1.2,< 1.2
matrix-synapse,PIP,HIGH,CVE-2020-26890,GHSA-4mp3-385r-v63f,Denial of service attack due to invalid JSON,2020-11-24 22:58:58,2020-12-04 20:48:38,1.20.0,< 1.20.0
highlight.js,NPM,LOW,CVE-2020-26237,GHSA-vfrc-7r7c-w9mx,Prototype Pollution in highlight.js,2020-11-24 22:58:41,2021-01-08 21:00:10,10.1.2,">= 10.0.0, < 10.1.2"
highlight.js,NPM,LOW,CVE-2020-26237,GHSA-vfrc-7r7c-w9mx,Prototype Pollution in highlight.js,2020-11-24 22:58:41,2021-01-08 21:00:10,9.18.2,< 9.18.2
datasette-indieauth,PIP,CRITICAL,,GHSA-mjcr-rqjg-rhg3,"Implementation trusts the ""me"" field returned by the authorization server without verifying it",2020-11-24 21:21:04,2020-11-24 21:21:04,1.1,= 1.0
jupyter-server,PIP,MODERATE,CVE-2020-26232,GHSA-grfj-wjv9-4f9v,Open redirect in Jupyter Server,2020-11-24 21:20:52,2021-01-07 22:40:25,1.0.6,< 1.0.6
typo3/cms-core,COMPOSER,LOW,CVE-2020-26229,GHSA-q9cp-mc96-m4w2,XML External Entity in Dashboard Widget,2020-11-23 21:18:44,2021-01-07 22:39:30,10.4.10,">= 10.4.0, < 10.4.10"
typo3/cms-core,COMPOSER,HIGH,CVE-2020-26228,GHSA-954j-f27r-cj52,Cleartext storage of session identifier,2020-11-23 21:18:36,2021-01-07 22:40:37,10.4.10,">= 10.0.0, < 10.4.10"
typo3/cms-core,COMPOSER,HIGH,CVE-2020-26228,GHSA-954j-f27r-cj52,Cleartext storage of session identifier,2020-11-23 21:18:36,2021-01-07 22:40:37,9.5.23,">= 9.0.0, < 9.5.23"
october/cms,COMPOSER,LOW,CVE-2020-26231,GHSA-r89v-cgv7-3jhx,"Bypass of fix for CVE-2020-15247, Twig sandbox escape",2020-11-23 20:54:18,2021-03-04 18:24:41,1.0.470,= 1.0.469
october/cms,COMPOSER,LOW,CVE-2020-15247,GHSA-94vp-rmqv-5875,Twig Sandbox Escape by authenticated users with access to editing CMS templates when safemode is enabled.,2020-11-23 19:48:27,2021-03-04 18:26:20,1.0.469,">= 1.0.319, < 1.0.469"
october/cms,COMPOSER,LOW,CVE-2020-15246,GHSA-xwjr-6fj7-fc6h,Local File Inclusion by unauthenticated users,2020-11-23 19:48:12,2021-03-04 18:26:20,1.0.469,">= 1.0.421, < 1.0.469"
october/backend,COMPOSER,LOW,CVE-2020-15249,GHSA-fx3v-553x-3c4q,Stored XSS by authenticated backend user with access to upload files,2020-11-23 19:47:59,2021-03-04 18:24:55,1.0.469,">= 1.0.319, < 1.0.469"
october/backend,COMPOSER,LOW,CVE-2020-15248,GHSA-rfjc-xrmf-5vvw,"Privilege escalation by backend users assigned to the default ""Publisher"" system role",2020-11-23 19:47:27,2021-03-04 18:26:20,1.0.470,">= 1.0.319, < 1.0.470"
semantic-release,NPM,HIGH,CVE-2020-26226,GHSA-r2j6-p67h-q639,Secret disclosure when containing characters that become URI encoded,2020-11-18 21:19:14,2021-01-07 22:41:35,17.2.3,<= 17.2.2
notebook,PIP,MODERATE,CVE-2020-26215,GHSA-c7vm-f5p4-8fqh,Open redirect in Jupyter Notebook,2020-11-18 21:06:36,2021-01-07 22:42:00,6.1.5,<= 6.1.4
typo3fluid/fluid,COMPOSER,MODERATE,CVE-2020-26216,GHSA-hpjm-3ww5-6cpf,Cross-Site Scripting through Fluid view helper arguments,2020-11-18 21:06:07,2021-01-07 22:41:43,2.6.10,">= 2.6.0, < 2.6.10"
typo3fluid/fluid,COMPOSER,MODERATE,CVE-2020-26216,GHSA-hpjm-3ww5-6cpf,Cross-Site Scripting through Fluid view helper arguments,2020-11-18 21:06:07,2021-01-07 22:41:43,2.5.11,">= 2.5.0, < 2.5.11"
typo3fluid/fluid,COMPOSER,MODERATE,CVE-2020-26216,GHSA-hpjm-3ww5-6cpf,Cross-Site Scripting through Fluid view helper arguments,2020-11-18 21:06:07,2021-01-07 22:41:43,2.4.4,">= 2.4.0, < 2.4.4"
typo3fluid/fluid,COMPOSER,MODERATE,CVE-2020-26216,GHSA-hpjm-3ww5-6cpf,Cross-Site Scripting through Fluid view helper arguments,2020-11-18 21:06:07,2021-01-07 22:41:43,2.3.7,">= 2.3.0, < 2.3.7"
typo3fluid/fluid,COMPOSER,MODERATE,CVE-2020-26216,GHSA-hpjm-3ww5-6cpf,Cross-Site Scripting through Fluid view helper arguments,2020-11-18 21:06:07,2021-01-07 22:41:43,2.2.4,">= 2.2.0, < 2.2.4"
typo3fluid/fluid,COMPOSER,MODERATE,CVE-2020-26216,GHSA-hpjm-3ww5-6cpf,Cross-Site Scripting through Fluid view helper arguments,2020-11-18 21:06:07,2021-01-07 22:41:43,2.1.7,">= 2.1.0, < 2.1.7"
typo3fluid/fluid,COMPOSER,MODERATE,CVE-2020-26216,GHSA-hpjm-3ww5-6cpf,Cross-Site Scripting through Fluid view helper arguments,2020-11-18 21:06:07,2021-01-07 22:41:43,2.0.8,">= 2.0.0, < 2.0.8"
prestashop/productcomments,COMPOSER,MODERATE,CVE-2020-26225,GHSA-58w4-w77w-qv3w,Reflected XSS with parameters in PostComment,2020-11-16 21:23:29,2021-01-07 22:42:06,4.2.0,">= 4.0.0, < 4.2.0"
com.thoughtworks.xstream:xstream,MAVEN,HIGH,CVE-2020-26217,GHSA-mw36-7c6c-q4q2,XStream can be used for Remote Code Execution,2020-11-16 20:07:59,2021-01-07 22:41:51,1.4.14-jdk7,<= 1.4.13
shopware/shopware,COMPOSER,LOW,,GHSA-hrfh-fp4x-crrq,Persistent XSS in newsletter module in Shopware,2020-11-13 18:26:06,2020-11-13 18:26:06,5.6.9,< 5.6.9
shopware/shopware,COMPOSER,LOW,,GHSA-28fw-88hq-6jmm,Persistent XSS in shopping worlds,2020-11-13 18:26:03,2020-11-13 18:26:03,5.6.9,< 5.6.9
net.ripe.rpki:rpki-validator-3,MAVEN,HIGH,,GHSA-q76j-58cx-wp5v,Vulnerability in RPKI manifest validation,2020-11-13 17:28:49,2020-11-13 17:28:49,3.2-2020.10.28.23.06,<= 3.2-2020.10.28.22.25
tensorflow-gpu,PIP,LOW,CVE-2020-15266,GHSA-xwhf-g6j5-j5gc,Float cast overflow undefined behavior,2020-11-13 17:18:29,2021-01-07 22:48:27,2.4.0,< 2.4.0
tensorflow-cpu,PIP,LOW,CVE-2020-15266,GHSA-xwhf-g6j5-j5gc,Float cast overflow undefined behavior,2020-11-13 17:18:29,2021-01-07 22:48:27,2.4.0,< 2.4.0
tensorflow,PIP,LOW,CVE-2020-15266,GHSA-xwhf-g6j5-j5gc,Float cast overflow undefined behavior,2020-11-13 17:18:29,2021-01-07 22:48:27,2.4.0,< 2.4.0
spree_api,RUBYGEMS,HIGH,CVE-2020-26223,GHSA-m2jr-hmc3-qmpr,Authorization bypass in Spree,2020-11-13 17:18:22,2021-01-07 22:42:13,4.1.12,">= 4.1.0, < 4.1.12"
spree_api,RUBYGEMS,HIGH,CVE-2020-26223,GHSA-m2jr-hmc3-qmpr,Authorization bypass in Spree,2020-11-13 17:18:22,2021-01-07 22:42:13,4.0.5,">= 4.0.0, < 4.0.5"
spree_api,RUBYGEMS,HIGH,CVE-2020-26223,GHSA-m2jr-hmc3-qmpr,Authorization bypass in Spree,2020-11-13 17:18:22,2021-01-07 22:42:13,3.7.13,">= 3.7.0, < 3.7.13"
tensorflow-gpu,PIP,LOW,CVE-2020-15265,GHSA-rrfp-j2mp-hq9c,Segfault in `tf.quantization.quantize_and_dequantize`,2020-11-13 17:13:04,2021-01-07 22:48:34,2.4.0,< 2.4.0
tensorflow-cpu,PIP,LOW,CVE-2020-15265,GHSA-rrfp-j2mp-hq9c,Segfault in `tf.quantization.quantize_and_dequantize`,2020-11-13 17:13:04,2021-01-07 22:48:34,2.4.0,< 2.4.0
tensorflow,PIP,LOW,CVE-2020-15265,GHSA-rrfp-j2mp-hq9c,Segfault in `tf.quantization.quantize_and_dequantize`,2020-11-13 17:13:04,2021-01-07 22:48:34,2.4.0,< 2.4.0
dependabot-common,RUBYGEMS,LOW,CVE-2020-26222,GHSA-23f7-99jx-m54r,Remote code execution in dependabot-core branch names when cloning,2020-11-13 15:47:50,2021-01-07 22:48:41,0.125.1,">= 0.119.0.beta1, < 0.125.1"
dependabot-omnibus,RUBYGEMS,LOW,CVE-2020-26222,GHSA-23f7-99jx-m54r,Remote code execution in dependabot-core branch names when cloning,2020-11-13 15:47:50,2021-01-07 22:48:41,0.125.1,">= 0.119.0.beta1, < 0.125.1"
shopware/shopware,COMPOSER,LOW,,GHSA-6gv9-7q4g-pmvm,Persistent XSS in customer module in Shopware,2020-11-13 15:47:36,2020-11-13 15:47:36,5.6.9,< 5.6.9
json-logic-js,NPM,HIGH,,GHSA-m9hw-7xfv-wqg7,Prototype Pollution in json-logic-js,2020-11-12 19:36:14,2020-11-12 19:36:14,2.0.0,< 2.0.0
pocketmine/pocketmine-mp,COMPOSER,HIGH,,GHSA-8jq6-w5cg-wm45,Exploitable inventory component chaining in PocketMine-MP,2020-11-11 21:38:18,2021-02-13 09:44:57,3.15.4,< 3.15.4
moin,PIP,CRITICAL,CVE-2020-25074,GHSA-52q8-877j-gghq,remote code execution via cache action in MoinMoin,2020-11-11 15:54:51,2020-11-11 15:54:51,1.9.11,< 1.9.11
moin,PIP,LOW,CVE-2020-15275,GHSA-4q96-6xhq-ff43,malicious SVG attachment causing stored XSS vulnerability,2020-11-11 15:54:41,2020-11-11 15:54:41,1.9.11,< 1.9.11
find-my-way,NPM,MODERATE,CVE-2020-7764,GHSA-jgrh-5m3h-9c5f,Web Cache Poisoning in find-my-way,2020-11-09 22:17:13,2020-11-10 20:19:43,3.0.5,">= 3.0.0, < 3.0.5"
find-my-way,NPM,MODERATE,CVE-2020-7764,GHSA-jgrh-5m3h-9c5f,Web Cache Poisoning in find-my-way,2020-11-09 22:17:13,2020-11-10 20:19:43,2.2.5,< 2.2.5
scratch-svg-renderer,NPM,HIGH,CVE-2020-7750,GHSA-j977-g5vj-j27g,Cross-Site Scripting in scratch-svg-renderer,2020-11-09 14:21:17,2021-01-07 22:49:02,0.2.0-prerelease.20201019174008,<= 0.2.0-prerelease.20201016121710
alerta-server,PIP,HIGH,CVE-2020-26214,GHSA-5hmm-x8q8-w5jh,LDAP authentication bypass with empty password,2020-11-06 17:35:49,2021-01-07 22:49:19,7.5.7,< 7.5.7
alerta-server,PIP,HIGH,CVE-2020-26214,GHSA-5hmm-x8q8-w5jh,LDAP authentication bypass with empty password,2020-11-06 17:35:49,2021-01-07 22:49:19,8.1.0,">= 8.0.0, < 8.1.0"
baserproject/basercms,COMPOSER,LOW,CVE-2020-15273,GHSA-wpww-4jf4-4hx8,"Edit feed settings  and others, Cross Site Scripting(XSS) Vulnerability in Latest Release 4.4.0",2020-11-04 21:08:38,2021-01-07 22:49:26,4.4.1,">= 4.4.0, < 4.4.1"
org.apache.synapse:synapse-core,MAVEN,CRITICAL,CVE-2017-15708,GHSA-p694-23q3-rvrc,Remote Code Execution in Apache Synapse,2020-11-04 18:23:25,2021-01-07 22:49:41,3.0.1,< 3.0.1
org.mortbay.jetty:jetty-webapp,MAVEN,HIGH,CVE-2020-27216,GHSA-g3wg-6mcf-8jj6,Local Temp Directory Hijacking Vulnerability,2020-11-04 17:50:24,2021-03-26 18:36:28,9.4.33,< 9.4.33
org.eclipse.jetty:jetty-webapp,MAVEN,HIGH,CVE-2020-27216,GHSA-g3wg-6mcf-8jj6,Local Temp Directory Hijacking Vulnerability,2020-11-04 17:50:24,2021-03-26 18:36:28,9.4.33,< 9.4.33
omniauth-auth0,RUBYGEMS,HIGH,CVE-2020-15240,GHSA-58r4-h6v8-jcvm,Regression in JWT Signature Validation,2020-11-03 02:31:38,2020-11-03 02:31:38,2.4.1,">= 2.3.0, < 2.4.1"
baserproject/basercms,COMPOSER,LOW,CVE-2020-15276,GHSA-fw5q-j9p4-3vxg,"Blog comment posting, Cross Site Scripting(XSS) Vulnerability in Latest Release 4.4.0",2020-10-30 19:10:20,2021-01-07 22:49:34,4.4.1,">= 4.4.0, < 4.4.1"
openmage/magento-lts,COMPOSER,HIGH,CVE-2020-15244,GHSA-jrgf-vfw2-hj26,RCE via PHP Object injection via SOAP Requests,2020-10-30 17:06:06,2021-01-07 22:49:47,20.0.4,">= 20.0.0, < 20.0.4"
openmage/magento-lts,COMPOSER,HIGH,CVE-2020-15244,GHSA-jrgf-vfw2-hj26,RCE via PHP Object injection via SOAP Requests,2020-10-30 17:06:06,2021-01-07 22:49:47,19.4.8,< 19.4.8
baserproject/basercms,COMPOSER,HIGH,CVE-2020-15277,GHSA-6fmv-q269-55cw,"Edit template, Remote Code Execution (RCE) Vulnerability in Latest Release 4.4.0",2020-10-30 17:05:59,2021-01-08 21:18:08,4.4.1,">= 4.4.0, < 4.4.1"
strapi-plugin-content-manager,NPM,HIGH,CVE-2020-27666,GHSA-qvp5-mm7v-4f36,Cross-site Scripting in Strapi,2020-10-29 19:40:08,2021-01-08 21:22:10,3.2.5,< 3.2.5
strapi-plugin-content-type-builder,NPM,MODERATE,CVE-2020-27665,GHSA-4p55-xj37-fx7g,Improper Authorization in Strapi,2020-10-29 18:29:31,2021-01-08 21:21:57,3.2.5,< 3.2.5
aws-encryption-sdk-cli,PIP,LOW,,GHSA-2xwp-m7mq-7q3r,CLI does not correctly implement strict mode,2020-10-28 17:05:38,2020-10-28 17:05:38,2.1.0,">= 2.0.0, < 2.1.0"
aws-encryption-sdk-cli,PIP,LOW,,GHSA-2xwp-m7mq-7q3r,CLI does not correctly implement strict mode,2020-10-28 17:05:38,2020-10-28 17:05:38,1.8.0,< 1.8.0
systeminformation,NPM,MODERATE,,GHSA-fj59-f6c3-3vw4,Command Injection,2020-10-27 20:40:00,2020-10-27 20:40:00,4.26.2,< 4.26.2
xml-crypto,NPM,HIGH,,GHSA-c27r-x354-4m68,HMAC-SHA1 signatures can bypass validation via key confusion,2020-10-27 20:39:46,2020-10-27 20:39:46,2.0.0,<= 1.5.3
cryptography,PIP,MODERATE,CVE-2020-25659,GHSA-hggm-jpg3-v476,RSA decryption vulnerable to Bleichenbacher timing vulnerability,2020-10-27 20:33:13,2020-10-27 20:33:13,3.2,< 3.2
red-discordbot,PIP,MODERATE,,GHSA-mp9m-g7qj-6vqr,Unauthorized privilege escalation in Mod module,2020-10-27 20:30:48,2020-10-27 20:30:48,3.4.1,< 3.4.1
systeminformation,NPM,MODERATE,CVE-2020-7752,GHSA-94xh-2fmc-xf5j,command injection vulnerability,2020-10-27 20:30:20,2020-10-27 20:30:20,4.27.11,< 4.27.11
CefSharp.Wpf.HwndHost,NUGET,CRITICAL,CVE-2020-15999,GHSA-pv36-h7jh-qm62,Heap overflow in the freetype library,2020-10-27 19:47:38,2021-02-08 15:46:59,85.3.130,< 85.3.130
CefSharp.WinForms,NUGET,CRITICAL,CVE-2020-15999,GHSA-pv36-h7jh-qm62,Heap overflow in the freetype library,2020-10-27 19:47:38,2021-02-08 15:46:59,85.3.130,< 85.3.130
CefSharp.Wpf,NUGET,CRITICAL,CVE-2020-15999,GHSA-pv36-h7jh-qm62,Heap overflow in the freetype library,2020-10-27 19:47:38,2021-02-08 15:46:59,85.3.130,< 85.3.130
CefSharp.Common,NUGET,CRITICAL,CVE-2020-15999,GHSA-pv36-h7jh-qm62,Heap overflow in the freetype library,2020-10-27 19:47:38,2021-02-08 15:46:59,85.3.130,< 85.3.130
bitlyshortener,PIP,HIGH,,GHSA-r82c-j4mq-5xfw,Update bitlyshortener to >=0.5.0 to prevent generating some invalid short URLs,2020-10-27 19:19:56,2020-10-27 19:19:56,0.5.0,< 0.5.0
lookatme,PIP,CRITICAL,CVE-2020-15271,GHSA-c84h-w6cr-5v8q,Markdown-supplied Shell Command Execution,2020-10-27 17:59:54,2021-01-07 22:50:11,2.3.0,< 2.3.0
blazar-dashboard,PIP,MODERATE,CVE-2020-26943,GHSA-939m-4xpw-v34v,Arbitrary Code Execution in blazar-dashboard,2020-10-27 17:55:04,2020-10-27 17:55:04,3.0.1,= 3.0.0
blazar-dashboard,PIP,MODERATE,CVE-2020-26943,GHSA-939m-4xpw-v34v,Arbitrary Code Execution in blazar-dashboard,2020-10-27 17:55:04,2020-10-27 17:55:04,2.0.1,= 2.0.0
blazar-dashboard,PIP,MODERATE,CVE-2020-26943,GHSA-939m-4xpw-v34v,Arbitrary Code Execution in blazar-dashboard,2020-10-27 17:55:04,2020-10-27 17:55:04,1.3.1,< 1.3.1
spree,RUBYGEMS,HIGH,CVE-2020-15269,GHSA-f8cm-364f-q9qh,Ensure that doorkeeper_token is valid when authenticating requests in API v2 calls,2020-10-20 20:03:52,2021-01-07 22:50:17,4.1.11,">= 4.1.0, < 4.1.11"
spree,RUBYGEMS,HIGH,CVE-2020-15269,GHSA-f8cm-364f-q9qh,Ensure that doorkeeper_token is valid when authenticating requests in API v2 calls,2020-10-20 20:03:52,2021-01-07 22:50:17,4.0.4,">= 4.0.0, < 4.0.4"
spree,RUBYGEMS,HIGH,CVE-2020-15269,GHSA-f8cm-364f-q9qh,Ensure that doorkeeper_token is valid when authenticating requests in API v2 calls,2020-10-20 20:03:52,2021-01-07 22:50:17,3.7.11,< 3.7.11
shopware/core,COMPOSER,LOW,,GHSA-p68v-frgx-4rjp,Denial of Service via Cache Flooding,2020-10-19 21:34:14,2020-10-19 21:34:14,6.3.2.1,<= 6.3.2.0
shopware/platform,COMPOSER,LOW,,GHSA-p68v-frgx-4rjp,Denial of Service via Cache Flooding,2020-10-19 21:34:14,2020-10-19 21:34:14,6.3.2.1,<= 6.3.2.0
shopware/core,COMPOSER,LOW,,GHSA-8xv9-qcr9-ww9j,Authenticated XML External Entity Processing,2020-10-19 21:32:18,2020-10-19 21:32:18,6.3.2.1,<= 6.3.2.0
