repository,package,fix_commit,commit_message,label,label_old
okta/okta-signin-widget,handlebars,3ac34f29f550b886180abb3e6ef525ca237481e1,":fire: Removes old e2e test suites

OKTA-382679
<<<Jenkins Check-In of Tested SHA: 921e7acb644c8115d0c022be4aead5c080fabcbf for eng_productivity_ci_bot_okta@okta.com>>>
Artifact: okta-signin-widget

OKTA-366595
<<<Jenkins Check-In of Tested SHA: 63db9e8224416fb2197234673682e2fe07eb713b for eng_productivity_ci_bot_okta@okta.com>>>
Artifact: okta-signin-widget",,
okta/okta-signin-widget,https-proxy-agent,70ef79f5d06969ded2c785dd7fa46e07a4b86c6d,,,
openglobus/openglobus,mixin-deep,69bc9da9fa700f5e46953586b5dd59084cd78048,Replaced build.bat to npm scripts,,
peeranha/peeranha-web,lodash,39a3382171f4035ae7912303e3af9213a7afb49c,,,
peeranha/peeranha-web,lodash,39a3382171f4035ae7912303e3af9213a7afb49c,,,
peeranha/peeranha-web,lodash,39a3382171f4035ae7912303e3af9213a7afb49c,,,
peeranha/peeranha-web,jquery,39a3382171f4035ae7912303e3af9213a7afb49c,,,
peeranha/peeranha-web,jquery,39a3382171f4035ae7912303e3af9213a7afb49c,,,
peeranha/peeranha-web,bootstrap,39a3382171f4035ae7912303e3af9213a7afb49c,,,
pilas-engine/pilas-engine,stringstream,d4b3a37f5edbe5f688facfe00582c1d96e85414a,Creando visor de animaciones actuales y la posibilidad de crear animaciones nuevas y renombrar las existentes.,,
pilas-engine/pilas-engine,mixin-deep,d4b3a37f5edbe5f688facfe00582c1d96e85414a,Creando visor de animaciones actuales y la posibilidad de crear animaciones nuevas y renombrar las existentes.,,
portainer/portainer,eslint-utils,35b52a846e7b31d74f271348bdabcb6af3b69353,,,
portainer/portainer,mixin-deep,35b52a846e7b31d74f271348bdabcb6af3b69353,,,
programmfabrik/coffeescript-ui,mixin-deep,4f4c84040476c20cf19aa92051a9a3153de2c381,"Update package.json & package-lock.json after ""npm audit fix"".",dependencies,
programmfabrik/coffeescript-ui,mixin-deep,00895f83fe594ca91476a7f7c3c018778fea00e8,DEMO: Added back theme switching.,,
programmfabrik/coffeescript-ui,stringstream,00895f83fe594ca91476a7f7c3c018778fea00e8,DEMO: Added back theme switching.,,
protectwise/troika,acorn,7c989b09f705fe7302fc26e5c49292b238c7c4f6,chore: update build-time dependencies,dependencies,
qgis/qwc2-demo-app,acorn,267c81c0147d4949bfbf89ae433544db9d1cba07,Update dependencies,dependencies,
rand256/valetudo,mqtt-packet,3a29a2be4f316f5df7b7fcb7bbbe046fdf0d3399,mark a version 0.3.1-RE4,,
rapidpro/rapidpro,react-dom,dbf3b7491447fb73655b2635cdabf1a0de4e41b7,Update some libs for security,dependencies + security,
rapidpro/rapidpro,axios,ae3a7dbd556ec7d535967bcba1d9c65891c324aa,Add dependency for temba-components,dependencies,
react-navigation/react-navigation.github.io,acorn,713a9a8ad5eb581c29032addabaceb4a5112453c,,,
rescapes/ramda,eslint-utils,1b377c5aa7a9ca4bd111596ba1a88dc47fa62490,Fixed naming,,
segmentio/evergreen,mixin-deep,98be7f078824d67ba71ec8f7ef48db98114a1ca6,,,
sehugg/8bitworkshop,acorn,7371b71648078fac50d350c04cf9e2683f380629,npm upgrade,dependencies,
sendgrid/docs,mixin-deep,554e8e29fe963b61d5db6c63bb6ac9b8668295da,Update packages & fix seo frontmatter typo,dependencies,
shadowsocks/shadowsocks-manager,acorn,deed6cebb45ccfa2c6e74d1b04764947281e4583,autopause,,
silverstripe/silverstripe-admin,mixin-deep,e8ba96f735fbeaa5e6bab029d02975cc2c8a5659,Upgrade dependencies,dependencies,
steedos/steedos-platform,acorn,ec986438c9a61810448db36a1802c05cc80f881d,移除 contract app,,
steedos/steedos-platform,https-proxy-agent,d1a36a7487f8ec0c8935584dc9e07a2922efb7d0,升级 yarn.lock,dependencies,
steemit/condenser,minimist,537702ecdb4cd8e267d9a910d2628db335060c14,communities search,,
stellarterm/stellarterm,braces,62b8a325e7821e8e470f9916afb8ebac64c9eed8,Update yarn lock,dependencies,
stellarterm/stellarterm,tar,dcf12240ccad2e178cd50fafde0f5bf89ed89c09,Update yarn lock,dependencies,
synzen/MonitoRSS,handlebars,73ac1ee502f5767a07d4c327af34a414722a8a8f,"Replace axios with node-fetch, and add express-validator",dependencies,
the-labo/the,acorn,ce6314aeede4bbdf023d80e1f2fd9cea83ec3be2,,,
thm-projects/arsnova-flashcards,mixin-deep,c0f0fc6d67d455ff04641812a420d18046650e3e,"Resolve ""changing the icon for the full screen setting""",,
thoughtworks/tramchester,acorn,eb84d2718feabf6466e70138c908dc81f0a469e3,npm update for security alerts,dependencies+security,
tidepool-org/blip,mixin-deep,0feafde7c15a5a418371d975e580160a2929e73b,WIP codemod work,,
tidepool-org/blip,eslint-utils,0feafde7c15a5a418371d975e580160a2929e73b,WIP codemod work,,
tillhub/schemas,axios,85b41c6930ae97093cc6a954560c14880d247c96,fix(packages): update firebase dep,dependencies,
tinode/webapp,acorn,475e5eb3e739bf666599ad21854be1b6f975bc7d,dependencies updated,dependencies,
topcoder-platform/community-app,serialize-javascript,0437b681647fbeb47929324759fa81304b3b473d,Fix #4061,,
uwcirg/tb-mobile-app,mixin-deep,a344ad02e2f425bc973b6273973a09f8f66643ca,Upgrade packages,dependencies,
vanda/vam-fractal,stringstream,233c1de04c1a708f647a977848f3857323ba903c,update,dependencies,empty
vanda/vam-fractal,mixin-deep,233c1de04c1a708f647a977848f3857323ba903c,update,dependencies,empty
viewstools/morph,acorn,c0ff1c9c7dfc2c87ce672a572ba7dd9aa8ed9cee,feat: support when <isFlow,,
webpack/webpack.js.org,minimist,eb48677d3dec74b8fafd551dc01154ebc6153147,,,
webpack/webpack.js.org,minimist,22dcb8a1ce7e2a1b02aa4cd6c99af0a69fba2ea7,chore(app): Fixed security issue,security,
wesbos/Syntax,acorn,defaff5deec53fbc5fdc8d14f9916898a437c2de,remove yarn,dependencies,
wfp/ui,acorn,d61f143d15d615a2e5bfaa59cdeaafe23d29d39b,feat(Dependencies): update all dependencies to the latest version,dependencies,
wikimedia/mediawiki-extensions-Popups,mixin-deep,189b386a131815985ec9dcb7b7f2b6d7b25d4f5c,"Publish storybook now we are using more modern node

Breaking change - I was having issues getting the knobs feature
to work so it has been removed for the time being.

Bug: T236589
Depends-On: I8505d2dad69aefed5f8ed1f599b3ca1b7e79acf5
Change-Id: I42fbf37124477e2d950b4bca15acf77703cd3f5d",,
wordpress-mobile/gutenberg-mobile,mixin-deep,c5d4c7ded8593439f241a2fcf58af7e58198316d,,,
wulkano/Kap,mixin-deep,2f2b56e3fe67105250bede321f7fa97119792f29,,,
xizon/uix-kit,acorn,0f748e6d2af067fc44793daa53d966267147fc43,"security: potential security vulnerability found in the minimist dependency

- acorn
- minimist",dependencies+security,
zenmoney/ZenPlugins,no-case,b9af5e3928df886ee210c845c8d782ee14b512e1,"update webpack, standard JS and other dependencies",dependencies,
